Time,Symbol,Price,Quantity,Type,Status,Value,Tag 
2010-01-04T21:00:00Z,SPY,85.697506773,1163,Market On Open,Filled,99666.200376999,"" 
2010-01-06T21:00:00Z,SPY,85.894182135,-1163,Market On Open,Filled,-99894.933823005,"Liquidated" 
2010-01-07T21:00:00Z,SPY,86.136244119,1157,Market On Open,Filled,99659.634445683,"" 
2010-01-14T21:00:00Z,SPY,86.771656827,-1157,Market On Open,Filled,-100394.80694884,"Liquidated" 
2010-01-15T21:00:00Z,SPY,85.947133194,1170,Market On Open,Filled,100558.14583698,"" 
2010-01-26T21:00:00Z,SPY,82.573394292,-1170,Market On Open,Filled,-96610.87132164,"Liquidated" 
2010-01-27T21:00:00Z,SPY,83.367660177,1164,Market On Open,Filled,97039.956446028,"" 
2010-02-12T21:00:00Z,SPY,82.338896745,-1164,Market On Open,Filled,-95842.47581118,"Liquidated" 
2010-02-16T21:00:00Z,SPY,83.413046799,1150,Market On Open,Filled,95925.00381885,"" 
2010-02-19T21:00:00Z,SPY,84.388859172,-1150,Market On Open,Filled,-97047.1880478,"Liquidated" 
2010-02-22T21:00:00Z,SPY,83.874477456,1149,Market On Open,Filled,96371.774596944,"" 
2010-02-25T21:00:00Z,SPY,83.81396196,-1149,Market On Open,Filled,-96302.24229204,"Liquidated" 
2010-02-26T21:00:00Z,SPY,84.11653944,1152,Market On Open,Filled,96902.25343488,"" 
2010-03-03T21:00:00Z,SPY,85.077222939,-1152,Market On Open,Filled,-98008.960825728,"Liquidated" 
2010-03-04T21:00:00Z,SPY,85.773151143,1145,Market On Open,Filled,98210.258058735,"" 
2010-03-17T20:00:00Z,SPY,88.587121707,-1145,Market On Open,Filled,-101432.25435451,"Liquidated" 
2010-03-18T20:00:00Z,SPY,88.785167113,1139,Market On Open,Filled,101126.30534171,"" 
2010-03-23T20:00:00Z,SPY,88.845932049,-1139,Market On Open,Filled,-101195.51660381,"Liquidated" 
2010-03-24T20:00:00Z,SPY,89.377625239,1136,Market On Open,Filled,101532.9822715,"" 
2010-04-12T20:00:00Z,SPY,90.873961788,-1136,Market On Open,Filled,-103232.82059117,"Liquidated" 
2010-04-13T20:00:00Z,SPY,91.367676893,1126,Market On Open,Filled,102880.00418152,"" 
2010-04-15T20:00:00Z,SPY,91.800627062,-1126,Market On Open,Filled,-103367.50607181,"Liquidated" 
2010-04-16T20:00:00Z,SPY,90.403033534,1136,Market On Open,Filled,102697.84609462,"" 
2010-05-11T20:00:00Z,SPY,88.359812561,-1136,Market On Open,Filled,-100376.7470693,"Liquidated" 
2010-06-28T20:00:00Z,SPY,80.927119416,1228,Market On Open,Filled,99378.502642848,"" 
2010-07-08T20:00:00Z,SPY,81.758980602,-1228,Market On Open,Filled,-100400.02817926,"Liquidated" 
2010-07-09T20:00:00Z,SPY,82.132936548,1235,Market On Open,Filled,101434.17663678,"" 
2010-07-14T20:00:00Z,SPY,83.628760332,-1235,Market On Open,Filled,-103281.51901002,"Liquidated" 
2010-07-15T20:00:00Z,SPY,83.231909124,1237,Market On Open,Filled,102957.87158639,"" 
2010-07-21T20:00:00Z,SPY,82.674791082,-1237,Market On Open,Filled,-102268.71656843,"Liquidated" 
2010-07-22T20:00:00Z,SPY,83.384544204,1231,Market On Open,Filled,102646.37391512,"" 
2010-07-26T20:00:00Z,SPY,85.59012111,-1231,Market On Open,Filled,-105361.43908641,"Liquidated" 
2010-07-27T20:00:00Z,SPY,84.994844298,1240,Market On Open,Filled,105393.60692952,"" 
2010-08-04T20:00:00Z,SPY,85.712229174,-1240,Market On Open,Filled,-106283.16417576,"Liquidated" 
2010-08-06T20:00:00Z,SPY,86.193029676,1240,Market On Open,Filled,106879.35679824,"" 
2010-08-18T20:00:00Z,SPY,83.361648942,-1240,Market On Open,Filled,-103368.44468808,"Liquidated" 
